Name,# Nucleotides,# Sequences,%GC,Created Date,Description,Imported From: Filename,Imported From: Path,Max Sequence Length,Min Sequence Length,Modified,Paired Data Type,Read Technology,SequenceListOrderingRevisionNumber,Size,URN
WTCHG_714232_72845164_MG_2_mapped.virus.,159165554,1055808,53.40%,Wed Nov 25 11:17:44 GMT 2020,Paired reads created from WTCHG_714232_72845164_MG_2.mapped.virus.1 and WTCHG_714232_72845164_MG_2.mapped.virus.2,"WTCHG_714232_72845164_MG_2.mapped.virus.1.fastq.gz, WTCHG_714232_72845164_MG_2.mapped.virus.2.fastq.gz",/Users/jayna/Evolve.Zoo Dropbox/Jayna Raghwani/rodents-RNA-shotgun/mapped_reads/mapped_reads,151,45,Wed Nov 25 11:17:44 GMT 2020,Paired End,Illumina,0,"176,144 KB",urn:local:.:3ka-coydcx2
WTCHG_714232_72825162_MG_1_mapped.virus.,166096487,1101788,52.40%,Wed Nov 25 11:17:19 GMT 2020,Paired reads created from WTCHG_714232_72825162_MG_1.mapped.virus.1 and WTCHG_714232_72825162_MG_1.mapped.virus.2,"WTCHG_714232_72825162_MG_1.mapped.virus.1.fastq.gz, WTCHG_714232_72825162_MG_1.mapped.virus.2.fastq.gz",/Users/jayna/Evolve.Zoo Dropbox/Jayna Raghwani/rodents-RNA-shotgun/mapped_reads/mapped_reads,151,45,Wed Nov 25 11:17:19 GMT 2020,Paired End,Illumina,0,"183,818 KB",urn:local:.:3js-coydayu
WTCHG_714232_72885168_AF_4_mapped.virus.,180016013,1194326,54.20%,Wed Nov 25 11:18:35 GMT 2020,Paired reads created from WTCHG_714232_72885168_AF_4.mapped.virus.1 and WTCHG_714232_72885168_AF_4.mapped.virus.2,"WTCHG_714232_72885168_AF_4.mapped.virus.1.fastq.gz, WTCHG_714232_72885168_AF_4.mapped.virus.2.fastq.gz",/Users/jayna/Evolve.Zoo Dropbox/Jayna Raghwani/rodents-RNA-shotgun/mapped_reads/mapped_reads,151,45,Wed Nov 25 11:18:35 GMT 2020,Paired End,Illumina,0,"199,219 KB",urn:local:.:3la-coydgte
WTCHG_714232_72875167_MG_3_mapped.virus.,183755340,1218902,54.00%,Wed Nov 25 11:18:24 GMT 2020,Paired reads created from WTCHG_714232_72875167_MG_3.mapped.virus.1 and WTCHG_714232_72875167_MG_3.mapped.virus.2,"WTCHG_714232_72875167_MG_3.mapped.virus.1.fastq.gz, WTCHG_714232_72875167_MG_3.mapped.virus.2.fastq.gz",/Users/jayna/Evolve.Zoo Dropbox/Jayna Raghwani/rodents-RNA-shotgun/mapped_reads/mapped_reads,151,45,Wed Nov 25 11:18:24 GMT 2020,Paired End,Illumina,0,"203,353 KB",urn:local:.:3l1-coydfzr
WTCHG_714232_72855165_AF_3_mapped.virus.,211712669,1404794,53.80%,Wed Nov 25 11:17:57 GMT 2020,Paired reads created from WTCHG_714232_72855165_AF_3.mapped.virus.1 and WTCHG_714232_72855165_AF_3.mapped.virus.2,"WTCHG_714232_72855165_AF_3.mapped.virus.1.fastq.gz, WTCHG_714232_72855165_AF_3.mapped.virus.2.fastq.gz",/Users/jayna/Evolve.Zoo Dropbox/Jayna Raghwani/rodents-RNA-shotgun/mapped_reads/mapped_reads,151,45,Wed Nov 25 11:17:57 GMT 2020,Paired End,Illumina,0,"234,297 KB",urn:local:.:3kj-coyddw7
WTCHG_714232_71955171_AF_5_mapped.virus.,248665359,1649690,54.40%,Wed Nov 25 11:16:15 GMT 2020,Paired reads created from WTCHG_714232_71955171_AF_5.mapped.virus.1 and WTCHG_714232_71955171_AF_5.mapped.virus.2,"WTCHG_714232_71955171_AF_5.mapped.virus.1.fastq.gz, WTCHG_714232_71955171_AF_5.mapped.virus.2.fastq.gz",/Users/jayna/Evolve.Zoo Dropbox/Jayna Raghwani/rodents-RNA-shotgun/mapped_reads/mapped_reads,151,45,Wed Nov 25 11:16:15 GMT 2020,Paired End,Illumina,0,"275,187 KB",urn:local:.:3is-coyd610
WTCHG_714232_71975173_MG_5_mapped.virus.,260141817,1725756,53.40%,Wed Nov 25 11:16:49 GMT 2020,Paired reads created from WTCHG_714232_71975173_MG_5.mapped.virus.1 and WTCHG_714232_71975173_MG_5.mapped.virus.2,"WTCHG_714232_71975173_MG_5.mapped.virus.1.fastq.gz, WTCHG_714232_71975173_MG_5.mapped.virus.2.fastq.gz",/Users/jayna/Evolve.Zoo Dropbox/Jayna Raghwani/rodents-RNA-shotgun/mapped_reads/mapped_reads,151,45,Wed Nov 25 11:16:49 GMT 2020,Paired End,Illumina,0,"287,889 KB",urn:local:.:3ja-coyd8nv
WTCHG_714232_72835163_AS_2_mapped.virus.,265685473,1762614,53.70%,Wed Nov 25 11:17:34 GMT 2020,Paired reads created from WTCHG_714232_72835163_AS_2.mapped.virus.1 and WTCHG_714232_72835163_AS_2.mapped.virus.2,"WTCHG_714232_72835163_AS_2.mapped.virus.1.fastq.gz, WTCHG_714232_72835163_AS_2.mapped.virus.2.fastq.gz",/Users/jayna/Evolve.Zoo Dropbox/Jayna Raghwani/rodents-RNA-shotgun/mapped_reads/mapped_reads,151,45,Wed Nov 25 11:17:34 GMT 2020,Paired End,Illumina,0,"294,017 KB",urn:local:.:3k1-coydc5w
WTCHG_714232_72865166_AS_3_mapped.virus.,271196095,1799226,52.90%,Wed Nov 25 11:18:13 GMT 2020,Paired reads created from WTCHG_714232_72865166_AS_3.mapped.virus.1 and WTCHG_714232_72865166_AS_3.mapped.virus.2,"WTCHG_714232_72865166_AS_3.mapped.virus.1.fastq.gz, WTCHG_714232_72865166_AS_3.mapped.virus.2.fastq.gz",/Users/jayna/Evolve.Zoo Dropbox/Jayna Raghwani/rodents-RNA-shotgun/mapped_reads/mapped_reads,151,45,Wed Nov 25 11:18:13 GMT 2020,Paired End,Illumina,0,"300,118 KB",urn:local:.:3ks-coydf5c
WTCHG_714232_71965172_AS_5_mapped.virus.,341484978,2265516,54.40%,Wed Nov 25 11:16:34 GMT 2020,Paired reads created from WTCHG_714232_71965172_AS_5.mapped.virus.1 and WTCHG_714232_71965172_AS_5.mapped.virus.2,"WTCHG_714232_71965172_AS_5.mapped.virus.1.fastq.gz, WTCHG_714232_71965172_AS_5.mapped.virus.2.fastq.gz",/Users/jayna/Evolve.Zoo Dropbox/Jayna Raghwani/rodents-RNA-shotgun/mapped_reads/mapped_reads,151,45,Wed Nov 25 11:16:34 GMT 2020,Paired End,Illumina,0,"377,899 KB",urn:local:.:3j1-coyd7ir
