contig ID,length,best subject sequence ID,taxonomy,percentage of identitcal matches,e-value,alignment length,number of mismatches,number of gap openings,start of alignment in query,end of alignment in query,start of alignment in subject,end of alignment in subject,bitscore
k141_100269,3891,ABO28589.1 replicase [Escherichia virus MS2],"root,Viruses,Riboviria,Leviviridae,Levivirus,Escherichia virus MS2",39.1,5.60E-27,220,123,4,2710,3366,195,404,133.7
k141_100347,1141,YP_009345054.1 hypothetical protein 1 [Wuhan millipede virus 3],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Wuhan millipede virus 3",44.5,7.90E-30,182,89,4,519,4,152,331,141.4
k141_100433,1154,ANH50464.1 hypothetical protein [Staphylococcus phage pSco-10],"root,Viruses,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus,unclassified Kayvirus,Staphylococcus phage Stab23",29.8,8.60E-08,161,93,5,461,934,8,151,68.2
k141_100658,1161,AVA30701.1 RNA-dependent RNA polymerase [Picobirnavirus sp.],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Picobirnavirus sp.",69.5,4.00E-146,387,108,5,11,1156,1,382,527.7
k141_100704,496,YP_009330031.1 hypothetical protein [Hubei picorna-like virus 46],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Hubei picorna-like virus 46",47.9,2.40E-36,165,82,1,2,496,2392,2552,161.8
k141_100713,383,AXH77375.1 replication initiator protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",38.6,4.10E-15,127,70,2,383,3,38,156,90.9
k141_100736,8205,"AIB06813.1 polyprotein, partial [Genet fecal theilovirus]","root,Viruses,Riboviria,Picornavirales,Picornaviridae,Cardiovirus,unclassified Cardiovirus,Genet fecal theilovirus",95.5,0.00E+00,2007,91,0,1023,7043,1,2007,3955.6
k141_100827,498,"AXL64603.1 capsid protein, partial [Chicken picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Chicken picobirnavirus",28.8,7.70E-06,156,71,6,498,121,332,477,60.5
k141_101140,761,"ACN42939.1 VP1, partial [Adeno-associated virus - Po3]","root,Viruses,Parvoviridae,Parvovirinae,Dependoparvovirus,unclassified Dependoparvovirus,Adeno-associated virus - Po3",91,6.50E-113,221,20,0,1,663,279,499,416.8
k141_101573,312,"AVX53754.1 putative capsid, partial [Marmot picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",47.6,4.10E-13,82,42,1,5,247,358,439,84
k141_101793,904,ASM93489.1 NS1 [Lupine feces-associated densovirus 2],"root,Viruses,Parvoviridae,Densovirinae,Ambidensovirus,unclassified Densovirus,Lupine feces-associated densovirus 2",51.8,2.40E-34,141,67,1,874,452,336,475,156
k141_101835,1069,AMP18944.1 capsid protein [Otarine picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Otarine picobirnavirus",48.2,8.40E-26,139,64,3,395,3,17,155,127.9
k141_102216,2655,AVX53537.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",44.1,2.60E-116,540,271,9,1061,2611,29,560,429.9
k141_102696,1324,YP_009336743.1 hypothetical protein 1 [Wenling crustacean virus 3],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Wenling crustacean virus 3",20.3,1.20E-08,315,174,7,792,16,146,439,71.2
